Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;RunNumber;Length;ComputationTime(s)
ALPHA;0,0010;1;11274,00;4,985
ALPHA;0,0010;2;11514,00;4,992

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

TAU_0;0,0100;3;11481,00;6,076
TAU_0;0,0100;4;11481,00;5,999
TAU_0;0,0100;5;11319,00;5,977
TAU_0;0,0100;6;11526,00;5,980
TAU_0;0,0100;7;11467,00;6,122
TAU_0;0,0100;8;11319,00;6,227
TAU_0;0,0100;9;11597,00;6,817
TAU_0;0,0100;10;11467,00;5,977
TAU_0;0,1000;1;11597,00;6,083
TAU_0;0,1000;2;11481,00;6,116
TAU_0;0,1000;3;11155,00;6,001
TAU_0;0,1000;4;11526,00;6,120
TAU_0;0,1000;5;11303,00;6,002
TAU_0;0,1000;6;11319,00;6,121
TAU_0;0,1000;7;11627,00;6,204
TAU_0;0,1000;8;11406,00;5,929
TAU_0;0,1000;9;11481,00;6,604
TAU_0;0,1000;10;11894,00;6,394
TAU_0;0,5000;1;11319,00;6,069
TAU_0;0,5000;2;11727,00;5,946
TAU_0;0,5000;3;11481,00;5,954
TAU_0;0,5000;4;11526,00;6,098
TAU_0;0,5000;5;11400,00;6,040
TAU_0;0,5000;6;11526,00;6,053
TAU_0;0,5000;7;11526,00;6,192
TAU_0;0,5000;8;11481,00;5,998
TAU_0;0,5000;9;11622,00;6,175
TAU_0;0,5000;10;11481,00;6,661
TAU_0;1,0000;1;11319,00;6,011
TAU_0;1,0000;2;11597,00;5,967
TAU_0;1,0000;3;11627,00;5,964
TAU_0;1,0000;4;11481,00;6,129
TAU_0;1,0000;5;11689,00;5,998
TAU_0;1,0000;6;11319,00;5,963
TAU_0;1,0000;7;11433,00;6,146
TAU_0;1,0000;8;11481,00;6,165
TAU_0;1,0000;9;11591,00;7,224
TAU_0;1,0000;10;11485,00;9,087

=== New Experiment ===
Started: 2025-03-26 19:58:30
Initial parameters:
ALPHA=1,0000;BETA=3,0000;RHO=0,7000;Q=500,00;TAU_0=0,0001;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=1000

ALPHA;0,0010;1;11481,00;7,200
ALPHA;0,0010;2;11517,00;7,029
ALPHA;0,0010;3;11485,00;6,841
ALPHA;0,0010;4;11514,00;6,805
ALPHA;0,0010;5;11243,00;6,776
ALPHA;0,0010;6;11796,00;6,840
ALPHA;0,0010;7;11597,00;6,968
ALPHA;0,0010;8;11274,00;6,753
ALPHA;0,0010;9;11514,00;6,836
ALPHA;0,0010;10;11864,00;6,768
ALPHA;0,0100;1;11426,00;6,774
ALPHA;0,0100;2;11319,00;6,947
ALPHA;0,0100;3;11496,00;6,775
ALPHA;0,0100;4;11526,00;7,429
ALPHA;0,0100;5;11481,00;9,873
ALPHA;0,0100;6;11597,00;6,816
ALPHA;0,0100;7;11485,00;6,918
ALPHA;0,0100;8;11406,00;7,031
ALPHA;0,0100;9;11485,00;6,800
ALPHA;0,0100;10;11319,00;6,925
ALPHA;0,1000;1;11627,00;6,944
ALPHA;0,1000;2;11334,00;6,902
ALPHA;0,1000;3;11319,00;6,891
ALPHA;0,1000;4;11155,00;6,933
ALPHA;0,1000;5;11526,00;6,873
ALPHA;0,1000;6;11426,00;6,941
ALPHA;0,1000;7;11319,00;6,846
ALPHA;0,1000;8;11454,00;6,972
ALPHA;0,1000;9;11627,00;7,072
ALPHA;0,1000;10;11319,00;6,889
ALPHA;0,5000;1;11411,00;6,882
ALPHA;0,5000;2;11485,00;6,924
ALPHA;0,5000;3;11514,00;6,611
ALPHA;0,5000;4;11514,00;6,578
ALPHA;0,5000;5;11319,00;6,702
ALPHA;0,5000;6;11485,00;6,575
ALPHA;0,5000;7;11597,00;6,607
ALPHA;0,5000;8;11245,00;6,645
ALPHA;0,5000;9;11274,00;6,715
ALPHA;0,5000;10;10897,00;6,488
ALPHA;1,0000;1;11406,00;6,844
ALPHA;1,0000;2;11481,00;6,881
ALPHA;1,0000;3;11319,00;6,863
ALPHA;1,0000;4;11485,00;6,914
ALPHA;1,0000;5;11481,00;6,898
ALPHA;1,0000;6;11496,00;6,973
ALPHA;1,0000;7;11482,00;6,801
ALPHA;1,0000;8;11485,00;6,872
ALPHA;1,0000;9;11485,00;6,887
ALPHA;1,0000;10;11622,00;10,148
ALPHA;1,5000;1;11319,00;9,080
ALPHA;1,5000;2;11232,00;6,815
ALPHA;1,5000;3;11386,00;6,804
ALPHA;1,5000;4;11607,00;9,778
ALPHA;1,5000;5;11319,00;7,049
ALPHA;1,5000;6;11514,00;6,876
ALPHA;1,5000;7;11467,00;6,989
ALPHA;1,5000;8;11319,00;7,309
ALPHA;1,5000;9;11319,00;7,146
ALPHA;1,5000;10;11232,00;6,982
BETA;1,0000;1;11514,00;7,058
BETA;1,0000;2;11627,00;7,136
BETA;1,0000;3;11281,00;6,802
BETA;1,0000;4;11514,00;7,000
BETA;1,0000;5;11481,00;6,870
BETA;1,0000;6;11597,00;6,967
BETA;1,0000;7;11319,00;6,884
BETA;1,0000;8;11526,00;6,732
BETA;1,0000;9;11622,00;6,853
BETA;1,0000;10;11481,00;7,093
BETA;1,5000;1;11467,00;6,824
BETA;1,5000;2;11526,00;6,969
BETA;1,5000;3;11597,00;7,318
BETA;1,5000;4;11481,00;6,924
BETA;1,5000;5;11485,00;7,060
BETA;1,5000;6;11894,00;6,852
BETA;1,5000;7;11303,00;6,880
BETA;1,5000;8;11485,00;7,082
BETA;1,5000;9;11406,00;8,268
BETA;1,5000;10;11319,00;7,955
BETA;2,0000;1;11481,00;6,856
BETA;2,0000;2;11622,00;6,817
BETA;2,0000;3;11319,00;6,985
BETA;2,0000;4;11678,00;6,739
BETA;2,0000;5;10934,00;6,639
BETA;2,0000;6;11514,00;6,361
BETA;2,0000;7;11481,00;6,343
BETA;2,0000;8;11597,00;6,466
BETA;2,0000;9;11481,00;6,401
BETA;2,0000;10;11627,00;6,384
BETA;3,0000;1;11530,00;6,731
BETA;3,0000;2;11485,00;7,035
BETA;3,0000;3;11514,00;6,784
BETA;3,0000;4;11573,00;6,736
BETA;3,0000;5;11485,00;6,692
BETA;3,0000;6;11526,00;6,725
BETA;3,0000;7;11426,00;6,745
BETA;3,0000;8;11861,00;6,829
BETA;3,0000;9;11481,00;6,791
BETA;3,0000;10;11456,00;6,685
BETA;4,0000;1;11319,00;6,992
BETA;4,0000;2;11795,00;6,777
BETA;4,0000;3;11514,00;6,661
BETA;4,0000;4;11894,00;6,667
BETA;4,0000;5;11861,00;6,695
BETA;4,0000;6;11319,00;6,737
BETA;4,0000;7;11514,00;6,670
BETA;4,0000;8;11597,00;6,720
BETA;4,0000;9;11406,00;6,751
BETA;4,0000;10;11485,00;6,749
BETA;5,0000;1;11514,00;6,704
BETA;5,0000;2;11891,00;6,659
BETA;5,0000;3;11485,00;6,610
BETA;5,0000;4;11066,00;6,844
BETA;5,0000;5;11597,00;6,816
BETA;5,0000;6;11386,00;8,198
BETA;5,0000;7;11485,00;7,320
BETA;5,0000;8;11514,00;6,913
BETA;5,0000;9;11319,00;6,916
BETA;5,0000;10;11526,00;9,916
P_0;0,0100;1;11319,00;6,490
P_0;0,0100;2;11894,00;6,684
P_0;0,0100;3;11894,00;5,908
P_0;0,0100;4;11894,00;5,887
P_0;0,0100;5;11894,00;5,819
P_0;0,0100;6;11894,00;5,800
P_0;0,0100;7;12045,00;5,901
P_0;0,0100;8;11894,00;5,960
P_0;0,0100;9;11894,00;5,820
P_0;0,0100;10;11894,00;5,901
P_0;0,0250;1;11894,00;5,842
P_0;0,0250;2;11622,00;6,129
P_0;0,0250;3;11514,00;6,138
P_0;0,0250;4;11597,00;6,312
P_0;0,0250;5;11894,00;6,511
P_0;0,0250;6;11627,00;6,299
P_0;0,0250;7;11514,00;6,343
P_0;0,0250;8;11894,00;6,097
P_0;0,0250;9;11622,00;6,147
P_0;0,0250;10;11514,00;6,049
P_0;0,0500;1;11894,00;6,144
P_0;0,0500;2;11894,00;6,373
P_0;0,0500;3;11526,00;6,264
P_0;0,0500;4;11526,00;7,121
P_0;0,0500;5;11426,00;6,454
P_0;0,0500;6;11597,00;6,240
P_0;0,0500;7;11481,00;6,291
P_0;0,0500;8;11319,00;6,490
P_0;0,0500;9;11485,00;6,317
P_0;0,0500;10;11485,00;6,291
P_0;0,1000;1;11481,00;6,290
P_0;0,1000;2;11319,00;6,521
P_0;0,1000;3;11514,00;6,435
P_0;0,1000;4;11380,00;6,544
P_0;0,1000;5;11481,00;6,488
P_0;0,1000;6;11481,00;6,750
P_0;0,1000;7;11441,00;7,199
P_0;0,1000;8;11319,00;6,768
P_0;0,1000;9;11303,00;6,554
P_0;0,1000;10;11526,00;6,341
P_0;0,2000;1;11485,00;6,530
P_0;0,2000;2;11908,00;6,440
P_0;0,2000;3;11878,00;6,477
P_0;0,2000;4;12077,00;6,329
P_0;0,2000;5;11810,00;6,615
P_0;0,2000;6;11611,00;6,474
P_0;0,2000;7;11894,00;6,519
P_0;0,2000;8;11942,00;6,485
P_0;0,2000;9;11796,00;6,423
P_0;0,2000;10;11481,00;6,484
P_0;0,3000;1;11514,00;6,508
P_0;0,3000;2;12459,00;6,537
P_0;0,3000;3;12279,00;6,438
P_0;0,3000;4;12415,00;6,442
P_0;0,3000;5;12333,00;6,620
P_0;0,3000;6;12516,00;6,396
P_0;0,3000;7;12528,00;6,447
P_0;0,3000;8;12839,00;6,395
P_0;0,3000;9;12159,00;6,476
P_0;0,3000;10;11688,00;6,387
NUM_ANTS;20;1;11514,00;6,419
NUM_ANTS;20;2;11526,00;1,363
NUM_ANTS;20;3;11796,00;1,308
NUM_ANTS;20;4;11311,00;1,243
NUM_ANTS;20;5;11597,00;1,268
NUM_ANTS;20;6;12077,00;1,356
NUM_ANTS;20;7;11536,00;1,272
NUM_ANTS;20;8;11485,00;1,310
NUM_ANTS;20;9;11894,00;1,260
NUM_ANTS;20;10;11894,00;1,395
NUM_ANTS;30;1;11319,00;1,307
NUM_ANTS;30;2;11485,00;1,888
NUM_ANTS;30;3;11894,00;2,242
NUM_ANTS;30;4;11347,00;1,908
NUM_ANTS;30;5;11514,00;1,979
NUM_ANTS;30;6;11796,00;1,910
NUM_ANTS;30;7;11514,00;1,894
NUM_ANTS;30;8;11526,00;1,968
NUM_ANTS;30;9;11514,00;1,937
NUM_ANTS;30;10;11597,00;2,106
NUM_ANTS;40;1;11622,00;1,942
NUM_ANTS;40;2;11796,00;2,547
NUM_ANTS;40;3;11514,00;2,635
NUM_ANTS;40;4;11526,00;2,645
NUM_ANTS;40;5;11796,00;2,605
NUM_ANTS;40;6;11514,00;2,627
NUM_ANTS;40;7;11526,00;2,629
NUM_ANTS;40;8;11485,00;2,661
NUM_ANTS;40;9;11485,00;2,548
NUM_ANTS;40;10;11514,00;2,640
NUM_ANTS;50;1;11526,00;2,706
NUM_ANTS;50;2;11380,00;3,332
NUM_ANTS;50;3;11526,00;3,234
NUM_ANTS;50;4;11514,00;3,244
NUM_ANTS;50;5;11380,00;3,358
NUM_ANTS;50;6;11526,00;3,250
NUM_ANTS;50;7;11622,00;3,381
NUM_ANTS;50;8;11846,00;3,365
NUM_ANTS;50;9;11746,00;3,477
NUM_ANTS;50;10;11485,00;3,238
NUM_ANTS;75;1;11894,00;3,262
NUM_ANTS;75;2;11485,00;4,834
NUM_ANTS;75;3;11481,00;5,293
NUM_ANTS;75;4;11627,00;5,870
NUM_ANTS;75;5;11481,00;5,059
NUM_ANTS;75;6;11481,00;4,970
NUM_ANTS;75;7;11688,00;5,041
NUM_ANTS;75;8;11076,00;5,033
NUM_ANTS;75;9;11765,00;5,015
NUM_ANTS;75;10;11380,00;4,963
NUM_ANTS;100;1;11744,00;4,828
NUM_ANTS;100;2;11481,00;7,180
NUM_ANTS;100;3;10540,00;5,850
NUM_ANTS;100;4;11319,00;5,607
NUM_ANTS;100;5;11319,00;5,670
NUM_ANTS;100;6;11311,00;5,684
NUM_ANTS;100;7;11597,00;5,565
NUM_ANTS;100;8;11517,00;5,639
NUM_ANTS;100;9;11514,00;5,526
NUM_ANTS;100;10;11481,00;5,778
Q;10,0000;1;11232,00;5,543
Q;10,0000;2;11627,00;5,538
Q;10,0000;3;11481,00;5,636
Q;10,0000;4;11894,00;5,606
Q;10,0000;5;11319,00;5,535
Q;10,0000;6;11319,00;6,590
Q;10,0000;7;11597,00;5,619
Q;10,0000;8;11627,00;5,528
Q;10,0000;9;11622,00;5,600
Q;10,0000;10;11319,00;5,489
Q;50,0000;1;11232,00;5,614
Q;50,0000;2;11514,00;5,538
Q;50,0000;3;11243,00;5,544
Q;50,0000;4;11481,00;5,495
Q;50,0000;5;11597,00;5,621
Q;50,0000;6;11283,00;5,483
Q;50,0000;7;11239,00;6,457
Q;50,0000;8;11481,00;5,533
Q;50,0000;9;11481,00;5,657
Q;50,0000;10;11514,00;5,477
Q;100,0000;1;11456,00;5,601
Q;100,0000;2;11281,00;5,763
Q;100,0000;3;11481,00;5,527
Q;100,0000;4;11229,00;5,601
Q;100,0000;5;11485,00;5,474
Q;100,0000;6;11319,00;5,474
Q;100,0000;7;11319,00;5,546
Q;100,0000;8;10738,00;5,535
Q;100,0000;9;11232,00;6,630
Q;100,0000;10;11481,00;5,591
Q;500,0000;1;11514,00;5,593
Q;500,0000;2;11319,00;5,645
Q;500,0000;3;11397,00;5,598
Q;500,0000;4;11526,00;5,577
Q;500,0000;5;11319,00;6,415
Q;500,0000;6;11514,00;5,794
Q;500,0000;7;11526,00;5,636
Q;500,0000;8;11481,00;5,623
Q;500,0000;9;11526,00;5,534
Q;500,0000;10;11319,00;5,617
Q;750,0000;1;11770,00;5,573
Q;750,0000;2;11485,00;5,544
Q;750,0000;3;11076,00;5,618
Q;750,0000;4;11597,00;5,486
Q;750,0000;5;11481,00;5,562
Q;750,0000;6;11514,00;5,575
Q;750,0000;7;11331,00;5,708
Q;750,0000;8;11622,00;5,635
Q;750,0000;9;11481,00;5,526
Q;750,0000;10;11485,00;5,629
Q;1000,0000;1;11574,00;6,413
Q;1000,0000;2;11281,00;5,606
Q;1000,0000;3;11243,00;5,705
Q;1000,0000;4;11224,00;5,575
Q;1000,0000;5;11319,00;5,598
Q;1000,0000;6;11796,00;5,687
Q;1000,0000;7;11481,00;5,661
Q;1000,0000;8;11526,00;5,570
Q;1000,0000;9;11526,00;5,508
Q;1000,0000;10;11485,00;5,548
RHO;0,1000;1;11319,00;5,489
RHO;0,1000;2;11319,00;5,808
RHO;0,1000;3;11549,00;5,542
RHO;0,1000;4;11311,00;5,741
RHO;0,1000;5;11239,00;5,596
RHO;0,1000;6;11379,00;5,606
RHO;0,1000;7;11415,00;5,514
RHO;0,1000;8;11485,00;5,541
RHO;0,1000;9;11526,00;5,529
RHO;0,1000;10;11481,00;5,783
RHO;0,3000;1;10851,00;6,459
RHO;0,3000;2;11319,00;5,576
RHO;0,3000;3;11894,00;5,503
RHO;0,3000;4;11485,00;5,619
RHO;0,3000;5;11319,00;5,631
RHO;0,3000;6;11243,00;5,675
RHO;0,3000;7;11622,00;5,547
RHO;0,3000;8;11481,00;5,530
RHO;0,3000;9;11319,00;5,532
RHO;0,3000;10;11481,00;5,509
RHO;0,5000;1;11481,00;5,608
RHO;0,5000;2;11411,00;7,384
RHO;0,5000;3;11204,00;7,243
RHO;0,5000;4;11319,00;6,483
RHO;0,5000;5;11319,00;8,066
RHO;0,5000;6;11627,00;10,536
RHO;0,5000;7;11622,00;11,119
RHO;0,5000;8;11485,00;10,149
RHO;0,5000;9;11308,00;10,391
RHO;0,5000;10;11406,00;10,289
RHO;0,7000;1;11467,00;10,687
RHO;0,7000;2;11411,00;7,433
RHO;0,7000;3;11232,00;6,469
RHO;0,7000;4;11485,00;6,494
RHO;0,7000;5;11501,00;6,582
RHO;0,7000;6;11481,00;6,516
RHO;0,7000;7;11737,00;6,543
RHO;0,7000;8;11485,00;6,507
RHO;0,7000;9;11514,00;6,571
RHO;0,7000;10;11627,00;6,468
RHO;0,8000;1;11319,00;6,601
RHO;0,8000;2;11526,00;6,467
RHO;0,8000;3;11597,00;6,490
RHO;0,8000;4;11514,00;6,750
RHO;0,8000;5;11319,00;6,482
RHO;0,8000;6;11481,00;6,630
RHO;0,8000;7;11514,00;6,494
RHO;0,8000;8;11380,00;6,680
RHO;0,8000;9;11232,00;6,500
RHO;0,8000;10;11622,00;6,553
RHO;0,8500;1;11319,00;6,587
RHO;0,8500;2;11485,00;6,485
RHO;0,8500;3;11526,00;6,623
RHO;0,8500;4;11509,00;6,501
RHO;0,8500;5;11526,00;6,568
RHO;0,8500;6;11319,00;6,495
RHO;0,8500;7;11319,00;6,793
RHO;0,8500;8;11319,00;6,466
RHO;0,8500;9;11526,00;6,435
RHO;0,8500;10;11465,00;6,593
RHO;0,9000;1;11481,00;6,513
RHO;0,9000;2;11411,00;6,515
RHO;0,9000;3;11485,00;6,433
RHO;0,9000;4;11526,00;6,590
RHO;0,9000;5;11514,00;6,498
RHO;0,9000;6;11894,00;6,607
RHO;0,9000;7;11788,00;6,888
RHO;0,9000;8;11597,00;6,639
RHO;0,9000;9;11319,00;6,545
RHO;0,9000;10;11795,00;6,603
TAU_0;0,0000;1;11573,00;6,743
TAU_0;0,0000;2;11526,00;7,667
TAU_0;0,0000;3;11243,00;6,592
TAU_0;0,0000;4;11732,00;6,551
TAU_0;0,0000;5;11319,00;6,590
TAU_0;0,0000;6;11514,00;6,613
TAU_0;0,0000;7;11311,00;6,702
TAU_0;0,0000;8;11319,00;6,699
TAU_0;0,0000;9;11481,00;6,584
TAU_0;0,0000;10;11573,00;6,589
TAU_0;0,0001;1;11319,00;6,613
TAU_0;0,0001;2;11514,00;6,804
TAU_0;0,0001;3;11526,00;6,499
TAU_0;0,0001;4;11847,00;6,601
TAU_0;0,0001;5;11076,00;6,637
TAU_0;0,0001;6;11481,00;6,451
TAU_0;0,0001;7;10472,00;6,554
TAU_0;0,0001;8;11406,00;6,647
TAU_0;0,0001;9;11703,00;6,656
TAU_0;0,0001;10;10919,00;6,627
TAU_0;0,0010;1;11319,00;6,574
TAU_0;0,0010;2;11426,00;6,495
TAU_0;0,0010;3;11111,00;6,617
TAU_0;0,0010;4;11319,00;6,629
TAU_0;0,0010;5;11281,00;6,563
TAU_0;0,0010;6;11456,00;6,486
TAU_0;0,0010;7;11485,00;6,614
TAU_0;0,0010;8;11485,00;6,914
TAU_0;0,0010;9;11411,00;6,502
TAU_0;0,0010;10;11319,00;6,533
TAU_0;0,0100;1;11560,00;6,500
TAU_0;0,0100;2;11481,00;6,565
TAU_0;0,0100;3;11319,00;6,590
TAU_0;0,0100;4;11514,00;6,591
TAU_0;0,0100;5;11243,00;6,532
TAU_0;0,0100;6;11894,00;6,525
TAU_0;0,0100;7;11526,00;6,578
TAU_0;0,0100;8;11076,00;6,643
TAU_0;0,0100;9;11319,00;6,660
TAU_0;0,0100;10;11885,00;6,585
TAU_0;0,1000;1;11232,00;6,523
TAU_0;0,1000;2;11296,00;6,640
TAU_0;0,1000;3;11319,00;6,735
TAU_0;0,1000;4;11627,00;6,613
TAU_0;0,1000;5;11319,00;6,678
TAU_0;0,1000;6;11485,00;6,579
TAU_0;0,1000;7;11481,00;6,464
TAU_0;0,1000;8;11585,00;6,484
TAU_0;0,1000;9;11485,00;6,520
TAU_0;0,1000;10;11319,00;6,610
TAU_0;0,5000;1;11526,00;6,516
TAU_0;0,5000;2;11481,00;6,462
TAU_0;0,5000;3;11426,00;6,707
TAU_0;0,5000;4;11319,00;6,643
TAU_0;0,5000;5;11485,00;6,720
TAU_0;0,5000;6;11796,00;6,602
TAU_0;0,5000;7;11319,00;6,636
TAU_0;0,5000;8;11514,00;6,631
TAU_0;0,5000;9;11274,00;6,586
TAU_0;0,5000;10;11319,00;6,600
TAU_0;1,0000;1;11485,00;7,809
TAU_0;1,0000;2;11380,00;6,500
TAU_0;1,0000;3;11627,00;6,449
TAU_0;1,0000;4;11331,00;6,384
TAU_0;1,0000;5;11485,00;7,999
TAU_0;1,0000;6;11651,00;10,166
TAU_0;1,0000;7;11485,00;8,707
TAU_0;1,0000;8;11319,00;8,156
TAU_0;1,0000;9;11319,00;6,885
TAU_0;1,0000;10;11319,00;6,638
MAX_ITERATIONS;500;1;11173,00;7,323
MAX_ITERATIONS;500;2;11573,00;3,656
MAX_ITERATIONS;500;3;11627,00;3,409
MAX_ITERATIONS;500;4;11147,00;3,402
MAX_ITERATIONS;500;5;11485,00;4,068
MAX_ITERATIONS;500;6;11434,00;4,270
MAX_ITERATIONS;500;7;11622,00;4,745
MAX_ITERATIONS;500;8;11894,00;3,242
MAX_ITERATIONS;500;9;11622,00;2,976
MAX_ITERATIONS;500;10;11281,00;3,179
MAX_ITERATIONS;750;1;11622,00;3,225
MAX_ITERATIONS;750;2;11481,00;4,629
MAX_ITERATIONS;750;3;11481,00;4,385
MAX_ITERATIONS;750;4;11155,00;4,470
MAX_ITERATIONS;750;5;11622,00;4,724
MAX_ITERATIONS;750;6;11481,00;6,007
MAX_ITERATIONS;750;7;11762,00;4,885
MAX_ITERATIONS;750;8;11526,00;4,847
MAX_ITERATIONS;750;9;11378,00;4,860
MAX_ITERATIONS;750;10;11319,00;4,866
MAX_ITERATIONS;1000;1;11386,00;4,798
MAX_ITERATIONS;1000;2;11371,00;6,404
MAX_ITERATIONS;1000;3;10851,00;6,411
MAX_ITERATIONS;1000;4;11526,00;6,384
MAX_ITERATIONS;1000;5;11319,00;6,410
MAX_ITERATIONS;1000;6;11319,00;7,106
MAX_ITERATIONS;1000;7;11656,00;6,497
MAX_ITERATIONS;1000;8;11213,00;6,454
MAX_ITERATIONS;1000;9;11319,00;6,396
MAX_ITERATIONS;1000;10;11319,00;6,359
MAX_ITERATIONS;1500;1;11319,00;6,471
MAX_ITERATIONS;1500;2;11514,00;9,699
MAX_ITERATIONS;1500;3;11319,00;9,733
MAX_ITERATIONS;1500;4;11514,00;9,977
MAX_ITERATIONS;1500;5;11485,00;9,870
MAX_ITERATIONS;1500;6;11481,00;9,993
MAX_ITERATIONS;1500;7;11853,00;9,912
MAX_ITERATIONS;1500;8;11319,00;11,293
MAX_ITERATIONS;1500;9;11485,00;12,802
MAX_ITERATIONS;1500;10;11481,00;9,636
MAX_ITERATIONS;2000;1;11319,00;9,531
MAX_ITERATIONS;2000;2;11514,00;12,607
MAX_ITERATIONS;2000;3;11319,00;14,381
MAX_ITERATIONS;2000;4;11076,00;19,906
MAX_ITERATIONS;2000;5;11319,00;21,548
MAX_ITERATIONS;2000;6;11509,00;13,843
MAX_ITERATIONS;2000;7;11319,00;13,279
MAX_ITERATIONS;2000;8;11319,00;14,237
MAX_ITERATIONS;2000;9;11274,00;15,030
MAX_ITERATIONS;2000;10;11485,00;13,740
MAX_ITERATIONS;3000;1;11411,00;13,021
MAX_ITERATIONS;3000;2;11319,00;19,305
MAX_ITERATIONS;3000;3;11311,00;19,577
MAX_ITERATIONS;3000;4;11319,00;23,687
MAX_ITERATIONS;3000;5;11274,00;25,564
MAX_ITERATIONS;3000;6;11319,00;24,764
MAX_ITERATIONS;3000;7;11243,00;24,605
MAX_ITERATIONS;3000;8;11319,00;24,499
MAX_ITERATIONS;3000;9;11386,00;24,843
MAX_ITERATIONS;3000;10;11319,00;25,091

=== New Experiment ===
Started: 2025-03-26 21:00:12
Initial parameters:
ALPHA=1,0000;BETA=3,0000;RHO=0,7000;Q=500,00;TAU_0=0,0001;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=1000

ALPHA;0,0010;1;11526,00;7,737
ALPHA;0,0010;2;11597,00;7,416
ALPHA;0,0010;3;11485,00;6,991
ALPHA;0,0010;4;11514,00;6,915
ALPHA;0,0010;5;11622,00;7,583
ALPHA;0,0010;6;11243,00;6,891
ALPHA;0,0010;7;11319,00;6,980
ALPHA;0,0010;8;11319,00;7,245
ALPHA;0,0010;9;10853,00;7,411
ALPHA;0,0010;10;11319,00;7,018
ALPHA;0,0100;1;11481,00;7,223
ALPHA;0,0100;2;11481,00;7,062
ALPHA;0,0100;3;11597,00;6,985
ALPHA;0,0100;4;11627,00;7,151
ALPHA;0,0100;5;11514,00;6,934
ALPHA;0,0100;6;11627,00;6,964
ALPHA;0,0100;7;11514,00;6,981
ALPHA;0,0100;8;11456,00;7,328
ALPHA;0,0100;9;11568,00;7,194
ALPHA;0,0100;10;11406,00;6,992
ALPHA;0,1000;1;11243,00;7,195
ALPHA;0,1000;2;11319,00;6,928
ALPHA;0,1000;3;11526,00;7,062
ALPHA;0,1000;4;11232,00;7,433
ALPHA;0,1000;5;11485,00;6,953
ALPHA;0,1000;6;11514,00;7,179
ALPHA;0,1000;7;11481,00;7,006
ALPHA;0,1000;8;11526,00;7,121
ALPHA;0,1000;9;11380,00;7,057
ALPHA;0,1000;10;11319,00;7,111
ALPHA;0,5000;1;11514,00;7,055
ALPHA;0,5000;2;11862,00;6,593
ALPHA;0,5000;3;11319,00;6,769
ALPHA;0,5000;4;11281,00;6,972
ALPHA;0,5000;5;11485,00;6,907
ALPHA;0,5000;6;11485,00;6,669
ALPHA;0,5000;7;11597,00;6,621
ALPHA;0,5000;8;11481,00;6,620
ALPHA;0,5000;9;11406,00;6,756
ALPHA;0,5000;10;11319,00;6,585
ALPHA;1,0000;1;11481,00;6,815
ALPHA;1,0000;2;11597,00;8,445
ALPHA;1,0000;3;11365,00;7,158
ALPHA;1,0000;4;11894,00;7,106
ALPHA;1,0000;5;11492,00;6,882
ALPHA;1,0000;6;11319,00;7,199
ALPHA;1,0000;7;11526,00;6,920
ALPHA;1,0000;8;11526,00;6,813
ALPHA;1,0000;9;11514,00;7,197
ALPHA;1,0000;10;11173,00;7,083
ALPHA;1,5000;1;11514,00;7,116
ALPHA;1,5000;2;11637,00;7,143
ALPHA;1,5000;3;11853,00;6,902
ALPHA;1,5000;4;11485,00;6,895
ALPHA;1,5000;5;11426,00;6,900
ALPHA;1,5000;6;10855,00;6,895
ALPHA;1,5000;7;11485,00;8,126
ALPHA;1,5000;8;11386,00;8,070
ALPHA;1,5000;9;11813,00;6,886
ALPHA;1,5000;10;11315,00;7,162
BETA;1,0000;1;11319,00;6,817
BETA;1,0000;2;11303,00;6,987
BETA;1,0000;3;11481,00;7,121
BETA;1,0000;4;11319,00;6,963
BETA;1,0000;5;11096,00;6,896
BETA;1,0000;6;11319,00;6,827
BETA;1,0000;7;11319,00;7,252
BETA;1,0000;8;11319,00;7,004
BETA;1,0000;9;11485,00;7,111
BETA;1,0000;10;10934,00;6,844
BETA;1,5000;1;11514,00;6,858
BETA;1,5000;2;11485,00;6,979
BETA;1,5000;3;11597,00;7,160
BETA;1,5000;4;11319,00;7,079
BETA;1,5000;5;11627,00;7,185
BETA;1,5000;6;11481,00;7,372
BETA;1,5000;7;11481,00;8,268
BETA;1,5000;8;11319,00;7,013
BETA;1,5000;9;11319,00;6,955
BETA;1,5000;10;11319,00;6,846
BETA;2,0000;1;11597,00;6,815
BETA;2,0000;2;11453,00;6,546
BETA;2,0000;3;11319,00;6,476
BETA;2,0000;4;11319,00;6,681
BETA;2,0000;5;11526,00;6,558
BETA;2,0000;6;11514,00;6,780
BETA;2,0000;7;11481,00;6,645
BETA;2,0000;8;11319,00;6,588
BETA;2,0000;9;11485,00;6,479
BETA;2,0000;10;11514,00;6,506
BETA;3,0000;1;11481,00;6,605
