Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;BestLength;WorstLength;AverageLength;ValidRuns;ComputationTime

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000
TAU_0;0,1000;11232,00;11627,00;11414,80;10;6584,65
TAU_0;0,5000;11274,00;11796,00;11445,90;10;6610,14
TAU_0;1,0000;11319,00;11651,00;11440,10;10;7569,32
MAX_ITERATIONS;500;11147,00;11894,00;11485,80;10;4027,01
MAX_ITERATIONS;750;11155,00;11762,00;11482,70;10;4689,79
MAX_ITERATIONS;1000;10851,00;11656,00;11327,90;10;6321,89
MAX_ITERATIONS;1500;11319,00;11853,00;11477,00;10;9938,47
MAX_ITERATIONS;2000;11076,00;11514,00;11345,30;10;14810,27
MAX_ITERATIONS;3000;11243,00;11411,00;11322,00;10;22495,74

=== New Experiment ===
Started: 2025-03-26 21:00:12
Initial parameters:
ALPHA=1,0000;BETA=3,0000;RHO=0,7000;Q=500,00;TAU_0=0,0001;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=1000

ALPHA;0,0010;10853,00;11622,00;11379,70;10;7218,70
ALPHA;0,0100;11406,00;11627,00;11527,10;10;7081,44
ALPHA;0,1000;11232,00;11526,00;11402,50;10;7104,50
ALPHA;0,5000;11281,00;11862,00;11474,90;10;6754,68
ALPHA;1,0000;11173,00;11894,00;11488,70;10;7161,61
ALPHA;1,5000;10855,00;11853,00;11476,90;10;7209,33
BETA;1,0000;10934,00;11485,00;11289,40;10;6982,12
BETA;1,5000;11319,00;11627,00;11446,10;10;7171,52
BETA;2,0000;11319,00;11597,00;11452,70;10;6607,35
BETA;3,0000;11243,00;11573,00;11401,80;10;6901,89
BETA;4,0000;11274,00;11756,00;11519,70;10;7108,70
BETA;5,0000;11303,00;11627,00;11370,70;10;6921,47
P_0;0,0100;11281,00;12055,00;11894,10;10;6694,18
P_0;0,0250;11319,00;11894,00;11707,10;10;6695,78
P_0;0,0500;11274,00;11894,00;11509,10;10;7242,74
P_0;0,1000;11274,00;11597,00;11411,70;10;7673,35
P_0;0,2000;11047,00;12077,00;11707,60;10;7848,01
P_0;0,3000;11475,00;12774,00;12084,90;10;7472,52
NUM_ANTS;20;11319,00;12045,00;11729,80;10;2321,08
NUM_ANTS;30;11274,00;12042,00;11539,60;10;2193,04
NUM_ANTS;40;10807,00;12045,00;11532,80;10;2962,70
NUM_ANTS;50;11319,00;11894,00;11672,10;10;3796,16
NUM_ANTS;75;11319,00;11894,00;11515,90;10;5532,40
NUM_ANTS;100;11311,00;11622,00;11464,60;10;7768,32
Q;10,0000;11319,00;11894,00;11475,40;10;8705,62
Q;50,0000;11003,00;11597,00;11391,20;10;6879,20
Q;100,0000;11281,00;11894,00;11576,70;10;6877,68
Q;500,0000;10892,00;11806,00;11353,80;10;6933,69
Q;750,0000;11076,00;11871,00;11453,70;10;6857,44
Q;1000,0000;11120,00;11796,00;11443,10;10;6862,24
RHO;0,1000;11096,00;11861,00;11457,00;10;6988,97
RHO;0,3000;11274,00;11861,00;11479,80;10;6857,62
RHO;0,5000;11319,00;11894,00;11549,00;10;6935,63
RHO;0,7000;11319,00;11744,00;11513,10;10;6857,58
RHO;0,8000;11389,00;11861,00;11547,90;10;6833,16
RHO;0,8500;10957,00;11724,00;11425,00;10;6935,24
RHO;0,9000;11311,00;11894,00;11473,10;10;6926,55
TAU_0;0,0000;11319,00;11514,00;11430,70;10;6815,31
TAU_0;0,0001;11076,00;11597,00;11433,80;10;7023,19
