=== Best Solution Found ===;;;
Timestamp: 2025-03-28 00:14:07;;;
Total Length: 11331,00 meters;;;
Computation Time: 4119,80 seconds;;;
;;;
Parameters used:;;;
103;30;17;863,00
109;40;23;462,00
117;44;46;687,00
119;17;30;1060,00
152;34;28;645,00
172;47;28;842,00
174;34;38;625,00
200;58;57;240,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-30 11:08:14
Total Length: 11248,00 meters
Computation Time: 4180,20 seconds

Parameters used:
ALPHA=0,1000;BETA=2,0000;RHO=0,7500;Q=100,00;
TAU_0=0,7500;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=3000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
101;40;25;755,00
103;30;17;863,00
108;25;40;545,00
109;40;23;462,00
119;17;30;1060,00
152;34;28;645,00
194;75;47;1079,00
197;60;56;510,00
236;107;106;596,00
240;81;22;864,00
247;22;68;505,00
249;83;104;1214,00
251;106;107;608,00

