=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
P_0;0,3;12482;14715;13551,1;10;3307,56;
NUM_ANTS;30;11922;14210;13368,5;10;2520,89;
NUM_ANTS;40;12361;14485;13437,1;10;3246,89;
NUM_ANTS;50;11424;14454;13080;10;4095,1;
NUM_ANTS;75;12391;13950;13138,4;10;5900,74;
NUM_ANTS;100;12076;14391;12956,9;10;7866,51;
NUM_ANTS;150;12136;13848;13120,5;10;11740,97;
Q;10;11695;14655;13294,3;10;8247,61;
Q;50;11367;14546;12745,5;10;8056,82;
Q;100;11207;14780;12953,1;10;8028,89;
Q;250;11602;14160;13144,9;10;8035,13;
Q;500;11956;13842;13150,9;10;8107,63;
Q;750;11259;14253;12944,1;10;8050,54;
Q;1000;11108;14446;12644,3;10;8000,31;
Q;1500;10753;14384;12705,1;10;8088,2;
RHO;0,1;12709;14035;13213;10;8046,41;
RHO;0,3;11664;14245;13450,1;10;7997,83;
RHO;0,5;10979;14358;12865,3;10;8046,01;
RHO;0,6;11770;14510;13386,1;10;8036,64;
RHO;0,7;11823;14079;13012,2;10;8062,52;
RHO;0,75;11103;14267;12810,6;10;8105,36;
RHO;0,8;11184;13774;12648,1;10;8048,08;
RHO;0,85;12071;14182;13416,1;10;8040,6;
RHO;0,9;12034;14055;13113,7;10;8191,27;
TAU_0;0,001;12239;14602;13173,4;10;8017,64;
TAU_0;0,01;11064;14024;12988,7;10;8022,28;
TAU_0;0,1;11097;13696;12268,9;10;8040,55;
TAU_0;0,25;12013;14185;13098,6;10;8063,56;
TAU_0;0,5;11342;13985;12676;10;8038,77;
TAU_0;0,75;10513;14502;12786,4;10;8096,4;
TAU_0;1;12266;14038;13276,2;10;8079,98;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=1,5000;BETA=0,7500;RHO=0,8000;Q=1000,00;;;;
TAU_0=0,1000;P_0=0,2000;NUM_ANTS=100;MAX_ITERATIONS=1500;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 4 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 01:59:59;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=0,7500;RHO=0,8000;Q=1000,00;TAU_0=0,1000;P_0=0,2000;NUM_ANTS=100;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;12245;14332;13435,3;10;7964,82;
ALPHA;0,01;12193;14258;13164;10;7989,27;
ALPHA;0,1;11175;14279;13278,4;10;8008,86;
ALPHA;0,3;11933;14449;13130,2;10;8053,61;
ALPHA;0,5;11737;14158;13057,7;10;7719,4;
ALPHA;0,7;11765;14073;13060,5;10;7987,24;
ALPHA;1;11513;13827;12934,4;10;8001,34;
ALPHA;1,5;12184;13323;12772,4;10;7978,97;
BETA;0,5;11816;14359;13092,7;10;7621,98;
BETA;0,75;11844;14361;12992,9;10;7990,33;
BETA;1;11039;14340;12917,3;10;7977,76;
BETA;1,5;11059;13508;12454,4;10;8019,77;
BETA;2;11423;14259;13135,6;10;7580,1;
BETA;3;12389;13919;13228,6;10;7957,85;
BETA;4;10817;13834;12864,8;10;8029,18;
BETA;5;11828;13784;12988,9;10;8055,26;
BETA;10;11273;14567;13142;10;8141,23;
P_0;0,01;11596;14377;12684,1;10;7573,15;
