=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
BETA;3,0000;12575,00;14362,00;13535,20;10;2069,73
BETA;4,0000;10972,00;14299,00;13099,10;10;2065,53
BETA;5,0000;12005,00;14527,00;13410,50;10;2031,39
BETA;10,0000;11017,00;13261,00;12556,70;10;2072,33
P_0;0,0100;11916,00;14667,00;13256,00;10;1940,41
P_0;0,0250;11907,00;14519,00;13293,80;10;2022,19
P_0;0,0500;11397,00;13783,00;12921,90;10;2330,11
P_0;0,1000;11596,00;13934,00;12998,40;10;4205,46
P_0;0,2000;11987,00;14077,00;13033,40;10;4745,70
P_0;0,3000;11582,00;14774,00;13297,80;10;4646,45
NUM_ANTS;30;11313,00;13990,00;12878,60;10;2938,90
NUM_ANTS;40;11895,00;13671,00;12845,20;10;3350,86
NUM_ANTS;50;11084,00;13485,00;12544,70;10;4434,37
NUM_ANTS;75;11544,00;13817,00;13082,90;10;6549,60
NUM_ANTS;100;11596,00;14122,00;13131,40;10;8913,83
NUM_ANTS;150;12210,00;14003,00;13090,30;10;13183,42
Q;10,0000;11788,00;14164,00;13177,70;10;4554,54
Q;50,0000;11596,00;13427,00;12415,00;10;4598,35
Q;100,0000;12380,00;14208,00;13366,30;10;4589,49
Q;250,0000;11624,00;14036,00;12737,10;10;4600,90
Q;500,0000;11191,00;14045,00;12670,40;10;4550,60
Q;750,0000;11907,00;14288,00;13197,40;10;4574,25
Q;1000,0000;10939,00;14302,00;12896,90;10;4582,58
Q;1500,0000;11907,00;13932,00;12957,70;10;4577,25
RHO;0,1000;10977,00;14190,00;12788,60;10;4526,76
RHO;0,3000;12251,00;13939,00;13174,70;10;4460,96
RHO;0,5000;12167,00;13666,00;12920,50;10;4574,17
RHO;0,6000;11907,00;14307,00;13012,70;10;4526,44
RHO;0,7000;11890,00;13854,00;12913,10;10;4484,28
RHO;0,7500;11025,00;13745,00;12466,20;10;4541,63
RHO;0,8000;11995,00;14087,00;13185,60;10;4646,78
RHO;0,8500;12333,00;14111,00;13073,50;10;4626,68
RHO;0,9000;11596,00;13566,00;12546,40;10;4608,63
TAU_0;0,0010;11454,00;14314,00;12889,70;10;4563,12
TAU_0;0,0100;11907,00;13755,00;12805,30;10;4641,80
TAU_0;0,1000;11230,00;14046,00;12716,70;10;4592,31
TAU_0;0,2500;12068,00;13181,00;12609,20;10;4591,48
TAU_0;0,5000;11907,00;14131,00;13004,80;10;4597,11
TAU_0;0,7500;11691,00;13992,00;12827,20;10;4530,67
TAU_0;1,0000;11211,00;13576,00;12556,00;10;4432,78
MAX_ITERATIONS;500;12133,00;14156,00;12772,90;10;3186,91
MAX_ITERATIONS;750;12293,00;14131,00;13231,50;10;4478,98
MAX_ITERATIONS;1000;11308,00;13711,00;12638,30;10;5919,19
MAX_ITERATIONS;1500;11906,00;13774,00;12970,30;10;8523,93
MAX_ITERATIONS;2000;11700,00;13301,00;12498,50;10;11715,87
MAX_ITERATIONS;3000;11907,00;13301,00;12543,20;10;17567,30

=== Best Configuration Found ===
ALPHA=1,5000;BETA=10,0000;RHO=0,7500;Q=50,00;
TAU_0=1,0000;P_0=0,0500;NUM_ANTS=50;MAX_ITERATIONS=2000


=== Tuning Experiment 5 ===

=== New Experiment ===
Started: 2025-03-29 17:19:09
Initial parameters:
ALPHA=1,5000;BETA=10,0000;RHO=0,7500;Q=50,00;TAU_0=1,0000;P_0=0,0500;NUM_ANTS=50;MAX_ITERATIONS=2000

ALPHA;0,0010;12364,00;13427,00;12995,80;10;12582,56
ALPHA;0,0100;11865,00;13649,00;12659,10;10;12076,80
ALPHA;0,1000;11916,00;13453,00;12821,70;10;12309,65
ALPHA;0,3000;12238,00;14003,00;13163,60;10;12216,58
ALPHA;0,5000;12293,00;13703,00;12988,60;10;11457,01
ALPHA;0,7000;11700,00;13798,00;12724,80;10;12226,04
ALPHA;1,0000;11730,00;13427,00;12634,80;10;12426,87
ALPHA;1,5000;11923,00;13767,00;12882,10;10;12382,04
BETA;0,5000;11577,00;13565,00;12560,00;10;11646,19
BETA;0,7500;11937,00;13699,00;12543,30;10;11746,53
BETA;1,0000;11596,00;13791,00;12918,80;10;11682,15
BETA;1,5000;11916,00;13681,00;12858,00;10;11846,29
BETA;2,0000;11691,00;13764,00;12748,70;10;10884,44
BETA;3,0000;12238,00;14098,00;13256,50;10;11636,68
BETA;4,0000;11127,00;14148,00;12642,30;10;11658,72
BETA;5,0000;11211,00;14023,00;12801,30;10;10969,65
BETA;10,0000;11073,00;13917,00;12958,80;10;5547,28
P_0;0,0100;11853,00;14297,00;12798,10;10;5235,52
P_0;0,0250;11319,00;13798,00;12701,40;10;5502,54
P_0;0,0500;11907,00;14081,00;13019,90;10;5627,04
P_0;0,1000;12369,00;13834,00;13032,10;10;5689,72
P_0;0,2000;12939,00;14746,00;13782,70;10;5739,49
P_0;0,3000;12107,00;14562,00;13457,50;10;5906,18
NUM_ANTS;30;11797,00;14316,00;13088,50;10;3658,90
NUM_ANTS;40;11204,00;14160,00;12920,90;10;4313,63
NUM_ANTS;50;11605,00;13525,00;12795,70;10;5346,23
NUM_ANTS;75;11907,00;13409,00;12689,60;10;7780,52
NUM_ANTS;100;11700,00;13743,00;12475,40;10;10417,12
NUM_ANTS;150;11691,00;13431,00;12647,50;10;15349,78
Q;10,0000;11691,00;13460,00;12517,50;10;10668,86
Q;50,0000;11596,00;14302,00;12707,70;10;10648,52
Q;100,0000;12453,00;13427,00;13003,50;10;10735,21
Q;250,0000;11788,00;14124,00;12768,80;10;10660,69
Q;500,0000;11604,00;13775,00;12856,20;10;10692,69
Q;750,0000;11691,00;13798,00;12594,40;10;10619,89
Q;1000,0000;11691,00;13565,00;12674,90;10;10660,03
Q;1500,0000;11691,00;14261,00;12791,10;10;10689,51
RHO;0,1000;11596,00;13427,00;12400,20;10;10629,92
RHO;0,3000;11596,00;14209,00;12713,00;10;10645,35
RHO;0,5000;11907,00;13845,00;12748,60;10;10677,66
RHO;0,6000;11907,00;14229,00;12660,50;10;10645,85
RHO;0,7000;12453,00;13801,00;13211,90;10;10725,08
RHO;0,7500;11700,00;13930,00;12871,90;10;10672,69
RHO;0,8000;11605,00;14022,00;12491,10;10;10652,97
RHO;0,8500;11927,00;13959,00;12874,80;10;10922,34
RHO;0,9000;11560,00;13895,00;12796,20;10;10673,00
TAU_0;0,0010;11340,00;13408,00;12712,20;10;10824,84
TAU_0;0,0100;11596,00;13772,00;12307,40;10;10641,74
TAU_0;0,1000;11927,00;13668,00;12771,20;10;10806,38
TAU_0;0,2500;12068,00;13691,00;12796,80;10;10663,39
TAU_0;0,5000;11596,00;13814,00;12570,40;10;10686,99
TAU_0;0,7500;11907,00;13919,00;12788,80;10;10595,99
TAU_0;1,0000;11788,00;13800,00;12872,40;10;1054861,47
MAX_ITERATIONS;500;11801,00;13846,00;12929,80;10;6242,41
MAX_ITERATIONS;750;11907,00;14259,00;13192,30;10;5726,68
MAX_ITERATIONS;1000;11947,00;13775,00;12789,90;10;7421,84
MAX_ITERATIONS;1500;11907,00;13709,00;12951,30;10;10843,52
MAX_ITERATIONS;2000;11907,00;13483,00;12606,60;10;14586,59
MAX_ITERATIONS;3000;11731,00;13409,00;12489,30;10;18407,86

=== Best Configuration Found ===
ALPHA=1,0000;BETA=0,7500;RHO=0,1000;Q=10,00;
TAU_0=0,0100;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=3000


=== Tuning Experiment 1 ===

=== New Experiment ===
Started: 2025-03-29 23:41:05
Initial parameters:
ALPHA=0,5000;BETA=10,0000;RHO=0,5000;Q=100,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1500

ALPHA;0,0010;11907,00;14431,00;13011,60;10;3415,51
ALPHA;0,0100;11784,00;13853,00;12789,00;10;4136,06
ALPHA;0,1000;12326,00;13903,00;13047,10;10;3429,82
ALPHA;0,3000;11380,00;13262,00;12504,60;10;3329,28
ALPHA;0,5000;11941,00;13586,00;12763,40;10;3205,40
ALPHA;0,7000;11966,00;13410,00;12598,60;10;3346,67
ALPHA;1,0000;11907,00;13770,00;12696,10;10;3336,64
ALPHA;1,5000;11507,00;13775,00;12802,70;10;3424,63
BETA;0,5000;11664,00;13798,00;13052,00;10;3110,29
BETA;0,7500;11418,00;13455,00;12674,60;10;3324,03
BETA;1,0000;12137,00;14153,00;12838,40;10;3391,02
BETA;1,5000;11738,00;14025,00;12963,40;10;3342,81
BETA;2,0000;11594,00;14458,00;13101,10;10;3176,20
BETA;3,0000;11596,00;14071,00;13172,70;10;3257,03
BETA;4,0000;11866,00;14030,00;13046,80;10;3405,77
BETA;5,0000;12107,00;13758,00;12985,80;10;3256,78
BETA;10,0000;11281,00;13780,00;12297,00;10;3381,00
P_0;0,0100;11907,00;14961,00;13461,70;10;3461,51
P_0;0,0250;11907,00;14098,00;12921,60;10;3116,14
P_0;0,0500;11590,00;14182,00;12863,70;10;3672,24
P_0;0,1000;11139,00;14121,00;13288,60;10;4082,04
P_0;0,2000;12082,00;14706,00;13119,50;10;4769,95
P_0;0,3000;11718,00;15425,00;13498,50;10;3888,39
NUM_ANTS;30;11916,00;14220,00;13208,80;10;3183,64
NUM_ANTS;40;11864,00;13409,00;12612,20;10;4128,52
NUM_ANTS;50;11596,00;13698,00;12830,70;10;5241,51
NUM_ANTS;75;11075,00;12930,00;12108,20;10;7130,68
NUM_ANTS;100;11036,00;13507,00;12763,90;10;10289,87
NUM_ANTS;150;11788,00;13794,00;12537,00;10;14031,23
Q;10,0000;11171,00;13580,00;12709,40;10;7271,97
Q;50,0000;11664,00;13431,00;12614,30;10;7253,08
Q;100,0000;11907,00;13798,00;13059,30;10;7903,77
Q;250,0000;11442,00;13887,00;13015,20;10;8026,09
Q;500,0000;11201,00;13607,00;12685,20;10;6915,97
Q;750,0000;11039,00;13868,00;12785,30;10;6876,46
Q;1000,0000;11084,00;13501,00;12515,30;10;6846,79
Q;1500,0000;11894,00;13858,00;12886,30;10;6188,79
RHO;0,1000;11596,00;13437,00;12412,40;10;6307,34
RHO;0,3000;11661,00;13713,00;12852,30;10;7018,40
RHO;0,5000;11916,00;14070,00;13207,40;10;8694,99
RHO;0,6000;11915,00;13834,00;12977,50;10;6380,71
RHO;0,7000;12202,00;14182,00;13107,50;10;6379,43
RHO;0,7500;10966,00;13602,00;12616,70;10;6289,59
RHO;0,8000;11211,00;13860,00;13037,90;10;6343,03
RHO;0,8500;11916,00;13914,00;12729,20;10;6221,62
RHO;0,9000;11916,00;13885,00;12752,70;10;6161,11
TAU_0;0,0010;11473,00;14080,00;12673,20;10;6313,81
TAU_0;0,0100;11177,00;13768,00;12717,80;10;6248,97
TAU_0;0,1000;11409,00;13663,00;12878,50;10;6283,66
TAU_0;0,2500;10731,00;13959,00;12395,90;10;6268,44
TAU_0;0,5000;11596,00;13416,00;12391,10;10;6235,91
TAU_0;0,7500;11691,00;13513,00;12595,40;10;6272,29
TAU_0;1,0000;11700,00;13798,00;12681,20;10;6320,81
MAX_ITERATIONS;500;11788,00;13691,00;12542,20;10;2657,35
MAX_ITERATIONS;750;11927,00;13360,00;12769,50;10;3082,67
MAX_ITERATIONS;1000;11797,00;13396,00;12571,20;10;4196,70
MAX_ITERATIONS;1500;11605,00;13853,00;12680,70;10;6094,78
MAX_ITERATIONS;2000;12154,00;13783,00;12858,80;10;8117,84
MAX_ITERATIONS;3000;11700,00;13427,00;12656,30;10;11946,94

=== Best Configuration Found ===
ALPHA=0,3000;BETA=10,0000;RHO=0,1000;Q=1000,00;
TAU_0=0,5000;P_0=0,0500;NUM_ANTS=75;MAX_ITERATIONS=500


=== Tuning Experiment 2 ===

=== New Experiment ===
Started: 2025-03-30 00:36:21
Initial parameters:
ALPHA=0,3000;BETA=10,0000;RHO=0,1000;Q=1000,00;TAU_0=0,5000;P_0=0,0500;NUM_ANTS=75;MAX_ITERATIONS=500

ALPHA;0,0010;11256,00;14003,00;12768,70;10;2200,64
ALPHA;0,0100;11700,00;14003,00;13037,60;10;2090,93
ALPHA;0,1000;11691,00;13731,00;12808,80;10;2110,93
ALPHA;0,3000;12206,00;14015,00;13117,20;10;2207,45
ALPHA;0,5000;12273,00;14425,00;13392,20;10;1978,40
ALPHA;0,7000;11390,00;13431,00;12505,50;10;2073,24
ALPHA;1,0000;11907,00;13961,00;13099,80;10;2211,72
ALPHA;1,5000;11907,00;14296,00;12802,70;10;2114,29
BETA;0,5000;11907,00;13993,00;12670,50;10;2034,52
BETA;0,7500;11084,00;13914,00;12869,70;10;2053,21
BETA;1,0000;12031,00;13649,00;12851,00;10;2094,63
BETA;1,5000;11084,00;13448,00;12500,20;10;2088,73
BETA;2,0000;11907,00;13678,00;12752,80;10;1911,03
BETA;3,0000;11669,00;13848,00;12700,40;10;2053,16
BETA;4,0000;11605,00;13692,00;12645,40;10;2124,66
BETA;5,0000;11916,00;14003,00;12990,20;10;2177,20
BETA;10,0000;11239,00;13606,00;12682,40;10;2356,07
P_0;0,0100;12451,00;14464,00;13415,70;10;2005,39
P_0;0,0250;11174,00;15018,00;12872,80;10;2152,97
P_0;0,0500;11907,00;13892,00;12708,20;10;2092,26
P_0;0,1000;12024,00;14055,00;12916,60;10;2118,16
P_0;0,2000;11792,00;14412,00;13101,80;10;2156,83
P_0;0,3000;11706,00;15353,00;13577,50;10;2240,39
NUM_ANTS;30;12106,00;14212,00;13153,00;10;965,19
NUM_ANTS;40;11832,00;14030,00;13136,50;10;1093,90
NUM_ANTS;50;11203,00;14101,00;12646,10;10;1393,34
NUM_ANTS;75;11907,00;13824,00;12922,10;10;2141,88
NUM_ANTS;100;12038,00;14003,00;12838,90;10;2744,61
NUM_ANTS;150;11688,00;14098,00;12735,50;10;4200,15
Q;10,0000;12106,00;14211,00;13163,00;10;1392,68
Q;50,0000;12911,00;14083,00;13442,80;10;1418,21
Q;100,0000;11211,00;13798,00;12664,10;10;1389,61
Q;250,0000;12367,00;14147,00;13026,30;10;1508,96
Q;500,0000;11692,00;14269,00;13182,50;10;1410,32
Q;750,0000;11600,00;14259,00;12852,90;10;1399,36
Q;1000,0000;11300,00;13501,00;12524,20;10;1396,20
Q;1500,0000;11916,00;13920,00;12863,40;10;1438,58
RHO;0,1000;11550,00;13896,00;12691,60;10;1472,03
RHO;0,3000;10637,00;14296,00;12835,00;10;1422,37
RHO;0,5000;11916,00;13907,00;13218,50;10;1416,83
RHO;0,6000;11903,00;14008,00;12745,70;10;1429,36
RHO;0,7000;11738,00;13578,00;12719,40;10;1429,63
RHO;0,7500;11128,00;14288,00;12984,40;10;1405,81
RHO;0,8000;11719,00;14425,00;12618,10;10;1697,13
RHO;0,8500;11907,00;13593,00;12965,60;10;1706,14
RHO;0,9000;11579,00;14321,00;12869,90;10;1486,19
TAU_0;0,0010;11596,00;14415,00;13175,10;10;1396,05
TAU_0;0,0100;11493,00;14362,00;12939,40;10;1407,15
TAU_0;0,1000;10996,00;14320,00;12719,40;10;1557,08
TAU_0;0,2500;11700,00;13887,00;12886,50;10;1409,19
TAU_0;0,5000;12453,00;14139,00;13227,20;10;1399,27
TAU_0;0,7500;11700,00;14124,00;12830,10;10;1423,54
TAU_0;1,0000;12155,00;13892,00;13044,70;10;1447,96
MAX_ITERATIONS;500;10945,00;13924,00;12672,50;10;1504,90
MAX_ITERATIONS;750;11648,00;14505,00;12959,20;10;2018,98
MAX_ITERATIONS;1000;11746,00;13770,00;12786,40;10;2770,91
MAX_ITERATIONS;1500;11211,00;13906,00;12918,60;10;4133,25
MAX_ITERATIONS;2000;12042,00;13886,00;12671,70;10;5601,23
MAX_ITERATIONS;3000;12002,00;13959,00;12716,50;10;8147,39

=== Best Configuration Found ===
ALPHA=0,7000;BETA=1,5000;RHO=0,8000;Q=1000,00;
TAU_0=0,1000;P_0=0,0500;NUM_ANTS=50;MAX_ITERATIONS=2000


=== Tuning Experiment 3 ===

=== New Experiment ===
Started: 2025-03-30 01:00:56
Initial parameters:
ALPHA=0,7000;BETA=1,5000;RHO=0,8000;Q=1000,00;TAU_0=0,1000;P_0=0,0500;NUM_ANTS=50;MAX_ITERATIONS=2000

ALPHA;0,0010;11596,00;13431,00;12953,00;10;5640,49
ALPHA;0,0100;11472,00;14137,00;12928,40;10;5665,30
ALPHA;0,1000;11916,00;13362,00;12582,50;10;5629,41
ALPHA;0,3000;11358,00;13783,00;12567,70;10;5740,07
ALPHA;0,5000;11499,00;13966,00;13157,60;10;5283,55
ALPHA;0,7000;11907,00;12996,00;12479,50;10;5637,32
ALPHA;1,0000;11652,00;13301,00;12386,00;10;5705,11
ALPHA;1,5000;10952,00;13535,00;12932,40;10;5736,34
BETA;0,5000;11175,00;13805,00;12385,80;10;5339,91
BETA;0,7500;12068,00;13964,00;13073,80;10;5650,00
BETA;1,0000;11847,00;14090,00;13037,00;10;5714,79
BETA;1,5000;11907,00;13930,00;13164,50;10;5634,56
BETA;2,0000;11811,00;13731,00;13016,50;10;5308,40
BETA;3,0000;12040,00;13883,00;12996,00;10;5679,99
BETA;4,0000;11897,00;13723,00;12932,80;10;5745,25
BETA;5,0000;11311,00;13959,00;13131,90;10;5686,14
BETA;10,0000;11397,00;14035,00;12720,20;10;5718,56
P_0;0,0100;11700,00;14185,00;12507,00;10;5139,08
P_0;0,0250;11907,00;14078,00;12733,60;10;5158,57
P_0;0,0500;11409,00;13758,00;12680,50;10;5239,16
P_0;0,1000;11401,00;13792,00;12557,00;10;5348,82
P_0;0,2000;11833,00;14244,00;13250,30;10;5294,47
P_0;0,3000;11983,00;14882,00;13283,30;10;5420,75
NUM_ANTS;30;12293,00;14143,00;13644,10;10;3340,20
NUM_ANTS;40;11288,00;14412,00;13075,60;10;3898,70
NUM_ANTS;50;11871,00;13895,00;12524,50;10;4944,85
NUM_ANTS;75;11817,00;14261,00;13005,40;10;7223,77
NUM_ANTS;100;11907,00;14328,00;13298,10;10;9519,33
NUM_ANTS;150;11907,00;13960,00;12792,30;10;13976,24
Q;10,0000;11907,00;14266,00;13051,20;10;5060,45
Q;50,0000;11596,00;14399,00;13032,50;10;4966,22
Q;100,0000;11596,00;14046,00;12844,60;10;5015,92
Q;250,0000;11596,00;14023,00;12937,90;10;5032,56
Q;500,0000;11797,00;14801,00;13262,30;10;5001,16
Q;750,0000;11700,00;14099,00;12661,40;10;4922,10
Q;1000,0000;11174,00;14123,00;12909,50;10;5122,59
Q;1500,0000;11112,00;14261,00;12971,80;10;5045,04
RHO;0,1000;11907,00;14405,00;12963,50;10;5090,59
RHO;0,3000;11907,00;14400,00;13274,30;10;4929,88
RHO;0,5000;11691,00;13838,00;12388,50;10;5140,96
RHO;0,6000;11660,00;14555,00;12913,80;10;5140,26
RHO;0,7000;12068,00;14399,00;13304,00;10;5109,66
RHO;0,7500;11907,00;14320,00;13376,70;10;4940,00
RHO;0,8000;11700,00;14188,00;12993,90;10;4887,35
RHO;0,8500;11339,00;13896,00;12789,70;10;4995,68
RHO;0,9000;11907,00;14314,00;12892,00;10;5054,90
TAU_0;0,0010;11869,00;14400,00;12976,00;10;5101,53
TAU_0;0,0100;11811,00;14640,00;13118,30;10;4942,07
TAU_0;0,1000;11079,00;14327,00;12666,60;10;5008,08
TAU_0;0,2500;12453,00;14236,00;13091,40;10;5005,75
TAU_0;0,5000;11596,00;14099,00;12760,10;10;5033,31
TAU_0;0,7500;11797,00;13853,00;12607,00;10;4947,41
TAU_0;1,0000;11335,00;14399,00;13066,50;10;5062,96
MAX_ITERATIONS;500;11265,00;14261,00;12693,30;10;1624,72
MAX_ITERATIONS;750;11168,00;13806,00;12924,70;10;1784,96
MAX_ITERATIONS;1000;11596,00;14566,00;13036,50;10;2404,89
MAX_ITERATIONS;1500;11788,00;14188,00;12841,60;10;3612,31
MAX_ITERATIONS;2000;11907,00;14443,00;12650,90;10;4875,40
MAX_ITERATIONS;3000;11605,00;14400,00;12668,50;10;7137,34

=== Best Configuration Found ===
ALPHA=1,0000;BETA=0,5000;RHO=0,5000;Q=750,00;
TAU_0=0,7500;P_0=0,0100;NUM_ANTS=50;MAX_ITERATIONS=2000


=== Tuning Experiment 4 ===

=== New Experiment ===
Started: 2025-03-30 01:56:55
Initial parameters:
ALPHA=1,0000;BETA=0,5000;RHO=0,5000;Q=750,00;TAU_0=0,7500;P_0=0,0100;NUM_ANTS=50;MAX_ITERATIONS=2000

ALPHA;0,0010;11947,00;14401,00;13536,40;10;5001,30
ALPHA;0,0100;11916,00;14158,00;13135,00;10;4980,28
ALPHA;0,1000;11174,00;13995,00;12828,50;10;5179,44
ALPHA;0,3000;11509,00;13427,00;12553,40;10;4972,19
ALPHA;0,5000;11828,00;13833,00;12617,70;10;4541,07
ALPHA;0,7000;12453,00;14283,00;13315,20;10;4867,07
ALPHA;1,0000;11036,00;14446,00;12708,20;10;4926,34
ALPHA;1,5000;12334,00;14953,00;12987,10;10;4948,18
BETA;0,5000;11788,00;13603,00;12842,20;10;5032,25
BETA;0,7500;11907,00;14283,00;13017,50;10;5360,20
BETA;1,0000;12453,00;14437,00;13379,00;10;5455,94
BETA;1,5000;11170,00;14099,00;12768,50;10;5489,88
BETA;2,0000;11700,00;14861,00;13183,30;10;5022,11
BETA;3,0000;11596,00;14446,00;12952,40;10;5401,38
BETA;4,0000;11916,00;14623,00;13433,20;10;5597,59
BETA;5,0000;11596,00;14077,00;12855,10;10;5557,87
BETA;10,0000;11596,00;14111,00;13020,00;10;5431,66
P_0;0,0100;11797,00;14328,00;12717,40;10;5461,73
P_0;0,0250;11907,00;14288,00;12811,60;10;5647,44
P_0;0,0500;11907,00;14003,00;12985,50;10;5796,03
P_0;0,1000;12229,00;13887,00;13132,30;10;5757,82
P_0;0,2000;12402,00;14489,00;13446,10;10;5781,68
P_0;0,3000;12762,00;15567,00;14005,50;10;5778,48
NUM_ANTS;30;11788,00;14751,00;13387,70;10;3487,67
NUM_ANTS;40;11947,00;14348,00;12779,50;10;4343,50
NUM_ANTS;50;12042,00;13666,00;12981,90;10;5364,55
NUM_ANTS;75;12042,00;14069,00;13312,90;10;7775,04
NUM_ANTS;100;11788,00;14241,00;12931,10;10;10328,29
NUM_ANTS;150;11596,00;14227,00;12677,00;10;15439,26
Q;10,0000;11947,00;13427,00;12795,70;10;15901,88
Q;50,0000;11596,00;14266,00;13127,20;10;15812,28
Q;100,0000;11691,00;13463,00;12218,10;10;15738,24
Q;250,0000;12453,00;14454,00;13232,10;10;15675,03
Q;500,0000;11691,00;14301,00;12589,90;10;15719,81
Q;750,0000;11907,00;13409,00;12673,30;10;15968,91
Q;1000,0000;11605,00;13871,00;12655,30;10;15611,43
Q;1500,0000;11596,00;13427,00;12534,50;10;15811,85
RHO;0,1000;11596,00;13798,00;12200,70;10;15557,92
RHO;0,3000;11605,00;14232,00;12962,50;10;15781,06
RHO;0,5000;11596,00;13409,00;12555,50;10;16099,23
RHO;0,6000;11425,00;14377,00;12763,40;10;15802,07
RHO;0,7000;11878,00;14067,00;12569,00;10;15656,60
RHO;0,7500;12068,00;14142,00;12989,90;10;15894,42
RHO;0,8000;12068,00;13933,00;12731,00;10;16198,84
RHO;0,8500;11907,00;14162,00;12678,40;10;15802,09
RHO;0,9000;11700,00;14003,00;12659,80;10;15797,14
TAU_0;0,0010;11828,00;13838,00;12622,80;10;15501,94
TAU_0;0,0100;12004,00;13876,00;13019,90;10;15712,07
TAU_0;0,1000;11596,00;13966,00;12715,30;10;15690,15
TAU_0;0,2500;11907,00;13409,00;12451,50;10;15791,63
TAU_0;0,5000;11039,00;13905,00;12772,10;10;15617,09
TAU_0;0,7500;11788,00;14390,00;12967,70;10;15601,70
TAU_0;1,0000;11788,00;13853,00;12888,80;10;15567,74
MAX_ITERATIONS;500;11797,00;14045,00;12506,10;10;5280,57
MAX_ITERATIONS;750;11909,00;14099,00;12868,70;10;5990,63
MAX_ITERATIONS;1000;12426,00;14316,00;13183,40;10;7750,31
MAX_ITERATIONS;1500;11605,00;13930,00;12796,70;10;11578,74
MAX_ITERATIONS;2000;11788,00;14218,00;13299,10;10;15445,77
MAX_ITERATIONS;3000;11596,00;13301,00;12250,10;10;28826,66

=== Best Configuration Found ===
ALPHA=0,3000;BETA=1,5000;RHO=0,1000;Q=100,00;
TAU_0=0,2500;P_0=0,0100;NUM_ANTS=150;MAX_ITERATIONS=3000


=== Tuning Experiment 5 ===

=== New Experiment ===
Started: 2025-03-30 04:59:54
Initial parameters:
ALPHA=0,3000;BETA=1,5000;RHO=0,1000;Q=100,00;TAU_0=0,2500;P_0=0,0100;NUM_ANTS=150;MAX_ITERATIONS=3000

ALPHA;0,0010;11596,00;14046,00;12484,50;10;23588,40
ALPHA;0,0100;11907,00;14411,00;12917,00;10;23516,91
ALPHA;0,1000;11626,00;14003,00;12704,90;10;23409,89
ALPHA;0,3000;11788,00;13775,00;12984,40;10;23172,73
ALPHA;0,5000;11596,00;14060,00;12598,20;10;21295,55
ALPHA;0,7000;11377,00;13427,00;12447,80;10;23300,15
ALPHA;1,0000;11596,00;13723,00;12483,80;10;23341,69
ALPHA;1,5000;11907,00;14067,00;12892,70;10;23244,31
BETA;0,5000;11390,00;14377,00;12656,40;10;21601,94
BETA;0,7500;11079,00;12832,00;12105,40;10;23402,46
BETA;1,0000;11203,00;13715,00;12514,80;10;23456,96
BETA;1,5000;11788,00;14125,00;12969,40;10;23263,67
BETA;2,0000;11340,00;13505,00;12550,90;10;21499,78
BETA;3,0000;11691,00;13301,00;12386,80;10;23190,95
BETA;4,0000;11907,00;14067,00;13011,40;10;23445,92
BETA;5,0000;11788,00;13930,00;12556,20;10;23606,82
BETA;10,0000;11797,00;13409,00;12689,20;10;23495,95
P_0;0,0100;11947,00;13812,00;12873,40;10;23216,42
P_0;0,0250;11596,00;13301,00;12411,20;10;23941,13
P_0;0,0500;11043,00;13301,00;12420,70;10;24290,13
P_0;0,1000;11364,00;13258,00;12377,90;10;24461,12
P_0;0,2000;11542,00;14102,00;13012,40;10;25034,35
P_0;0,3000;11875,00;14891,00;13592,70;10;24384,10
NUM_ANTS;30;11923,00;14003,00;12710,20;10;7146,42
NUM_ANTS;40;11043,00;13661,00;12287,20;10;6536,60
NUM_ANTS;50;12238,00;13661,00;12927,80;10;8236,85
NUM_ANTS;75;12061,00;13798,00;12825,90;10;12188,75
NUM_ANTS;100;11211,00;13573,00;12649,60;10;16269,18
NUM_ANTS;150;11464,00;13340,00;12551,30;10;23980,58
Q;10,0000;11025,00;14075,00;12664,50;10;6844,98
Q;50,0000;12170,00;13568,00;12927,20;10;6759,79
Q;100,0000;11435,00;13501,00;12834,10;10;6750,73
Q;250,0000;11698,00;13870,00;13018,70;10;6869,55
Q;500,0000;11456,00;13959,00;12827,70;10;6866,91
Q;750,0000;11397,00;13745,00;12667,70;10;6877,52
Q;1000,0000;11796,00;13749,00;12679,20;10;6889,92
Q;1500,0000;11063,00;13798,00;12405,00;10;6872,43
RHO;0,1000;12038,00;13444,00;12932,10;10;6741,13
RHO;0,3000;12228,00;13618,00;12978,60;10;6744,17
RHO;0,5000;10986,00;13778,00;12359,80;10;6742,30
RHO;0,6000;11691,00;13743,00;12850,40;10;6759,92
RHO;0,7000;11357,00;13829,00;12731,80;10;6812,26
RHO;0,7500;11316,00;13775,00;12870,40;10;6783,60
RHO;0,8000;12098,00;13749,00;12783,50;10;6873,45
RHO;0,8500;11706,00;13924,00;12573,30;10;7158,81
RHO;0,9000;11033,00;14013,00;12882,30;10;6964,72
