
=== Tuning Experiment 1 ===

=== New Experiment ===
Started: 2025-03-27 23:05:27
Initial parameters:
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500

BETA;0,5000;9;12984,00;5,869
BETA;0,5000;10;12644,00;5,680
BETA;0,7500;1;13378,00;5,621
BETA;0,7500;2;13877,00;5,944
BETA;0,7500;3;11436,00;5,894
BETA;0,7500;4;13262,00;6,024
BETA;0,7500;5;12537,00;6,144
BETA;0,7500;6;12187,00;5,895
BETA;0,7500;7;13610,00;5,970
BETA;0,7500;8;12565,00;5,950
BETA;0,7500;9;11849,00;6,036
BETA;0,7500;10;13429,00;6,082
BETA;1,0000;1;13556,00;6,023
BETA;1,0000;2;12580,00;5,953
BETA;1,0000;3;12426,00;5,984
BETA;1,0000;4;13415,00;6,231
BETA;1,0000;5;11997,00;6,161
BETA;1,0000;6;12666,00;5,992
BETA;1,0000;7;13760,00;6,001
BETA;1,0000;8;13564,00;6,018
BETA;1,0000;9;12595,00;6,014
BETA;1,0000;10;11861,00;6,086
BETA;1,5000;1;12165,00;6,136
BETA;1,5000;2;13858,00;5,893
BETA;1,5000;3;13366,00;6,169
BETA;1,5000;4;13439,00;6,038
BETA;1,5000;5;13301,00;6,179
BETA;1,5000;6;12775,00;5,995
BETA;1,5000;7;13850,00;7,620
BETA;1,5000;8;12646,00;7,046
BETA;1,5000;9;11322,00;6,678
BETA;1,5000;10;13377,00;6,067
BETA;2,0000;1;13605,00;6,179
BETA;2,0000;2;11880,00;5,656
BETA;2,0000;3;13707,00;5,626
BETA;2,0000;4;13253,00;5,659
BETA;2,0000;5;14011,00;5,725
BETA;2,0000;6;12171,00;5,697
BETA;2,0000;7;11572,00;5,687
BETA;2,0000;8;13720,00;5,623
BETA;2,0000;9;13439,00;5,557
BETA;2,0000;10;11499,00;5,587
BETA;3,0000;1;13023,00;5,688
BETA;3,0000;2;12986,00;5,966
BETA;3,0000;3;12793,00;5,966
BETA;3,0000;4;12206,00;5,989
BETA;3,0000;5;12068,00;6,152
BETA;3,0000;6;12478,00;5,850
BETA;3,0000;7;11386,00;5,894
BETA;3,0000;8;12986,00;5,876
BETA;3,0000;9;13496,00;6,088
BETA;3,0000;10;12329,00;6,124
BETA;4,0000;1;13796,00;5,988
BETA;4,0000;2;13537,00;6,069
BETA;4,0000;3;13461,00;6,086
BETA;4,0000;4;12665,00;5,951
BETA;4,0000;5;12979,00;6,056
BETA;4,0000;6;14094,00;5,959
BETA;4,0000;7;13100,00;6,046
BETA;4,0000;8;11755,00;6,077
BETA;4,0000;9;12645,00;6,069
BETA;4,0000;10;12609,00;6,015
BETA;5,0000;1;13100,00;6,055
BETA;5,0000;2;11916,00;5,996
BETA;5,0000;3;12709,00;6,013
BETA;5,0000;4;12566,00;5,878
BETA;5,0000;5;11934,00;6,172
BETA;5,0000;6;13176,00;5,953
BETA;5,0000;7;12270,00;6,066
BETA;5,0000;8;13003,00;7,406
BETA;5,0000;9;13485,00;6,051
BETA;5,0000;10;13475,00;5,944
BETA;10,0000;1;12459,00;6,112
BETA;10,0000;2;13013,00;6,048
BETA;10,0000;3;11986,00;5,889
BETA;10,0000;4;12928,00;6,024
BETA;10,0000;5;13434,00;6,053
BETA;10,0000;6;11373,00;6,150
BETA;10,0000;7;13261,00;6,030
BETA;10,0000;8;13026,00;6,025
BETA;10,0000;9;12505,00;5,901
BETA;10,0000;10;11364,00;5,950
P_0;0,0100;1;11875,00;6,229
P_0;0,0100;2;13806,00;5,597
P_0;0,0100;3;14046,00;5,634
P_0;0,0100;4;12494,00;5,702
P_0;0,0100;5;12426,00;5,763
P_0;0,0100;6;12453,00;5,665
P_0;0,0100;7;12545,00;5,736
P_0;0,0100;8;12459,00;6,198
P_0;0,0100;9;13949,00;5,598
P_0;0,0100;10;12579,00;5,631
P_0;0,0250;1;11596,00;5,675
P_0;0,0250;2;14081,00;5,654
P_0;0,0250;3;11907,00;5,808
P_0;0,0250;4;12453,00;5,681
P_0;0,0250;5;11788,00;6,024
P_0;0,0250;6;13396,00;5,716
P_0;0,0250;7;11912,00;5,817
P_0;0,0250;8;11907,00;6,228
P_0;0,0250;9;12579,00;5,798
P_0;0,0250;10;13764,00;5,952
P_0;0,0500;1;12130,00;6,108
